"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"1","NCAA, East - First Round","2011","3","15",70,52,12,"Clemson",12,"UAB"
"2","NCAA, Southeast - First Round","2011","3","15",81,77,16,"UNC Asheville",16,"Little Rock"
"3","NCAA, Southwest - First Round","2011","3","16",59,46,11,"VCU",11,"USC"
"4","NCAA, East - First Round","2011","3","16",70,61,16,"UTSA",16,"Alabama State"
"5","NCAA, Southeast - Second Round","2011","3","17",74,51,1,"Pitt",16,"UNC Asheville"
"6","NCAA, Southeast - Second Round","2011","3","17",79,51,2,"Florida",15,"UCSB"
"7","NCAA, West - Second Round","2011","3","17",68,50,2,"San Diego State",15,"Northern Colorado"
"8","NCAA, West - Second Round","2011","3","17",81,52,3,"UConn",14,"Bucknell"
"9","NCAA, Southeast - Second Round","2011","3","17",66,74,14,"Wofford",3,"BYU"
"10","NCAA, Southwest - Second Round","2011","3","17",62,61,13,"Morehead State",4,"Louisville"
"11","NCAA, East - Second Round","2011","3","17",57,59,13,"Princeton",4,"Kentucky"
"12","NCAA, Southeast - Second Round","2011","3","17",72,58,4,"Wisconsin",13,"Belmont"
"13","NCAA, Southeast - Second Round","2011","3","17",68,73,12,"Utah State",5,"Kansas State"
"14","NCAA, Southwest - Second Round","2011","3","17",66,69,5,"Vanderbilt",12,"Richmond"
"15","NCAA, East - Second Round","2011","3","17",84,76,5,"West Virginia",12,"Clemson"
"16","NCAA, West - Second Round","2011","3","17",63,78,11,"Missouri",6,"Cincinnati"
"17","NCAA, Southeast - Second Round","2011","3","17",71,86,6,"St Johns NY",11,"Gonzaga"
"18","NCAA, West - Second Round","2011","3","17",66,64,7,"Temple",10,"Penn State"
"19","NCAA, Southeast - Second Round","2011","3","17",78,76,7,"UCLA",10,"Michigan State"
"20","NCAA, Southeast - Second Round","2011","3","17",58,60,9,"Old Dominion",8,"Butler"
"21","NCAA, West - Second Round","2011","3","18",45,87,16,"Hampton",1,"Duke"
"22","NCAA, Southwest - Second Round","2011","3","18",72,53,1,"Kansas",16,"Boston University"
"23","NCAA, East - Second Round","2011","3","18",46,75,16,"UTSA",1,"Ohio State"
"24","NCAA, East - Second Round","2011","3","18",102,87,2,"UNC",15,"LIU"
"25","NCAA, Southwest - Second Round","2011","3","18",69,56,2,"Notre Dame",15,"Akron"
"26","NCAA, Southwest - Second Round","2011","3","18",43,65,14,"St Peters",3,"Purdue"
"27","NCAA, East - Second Round","2011","3","18",77,60,3,"Syracuse",14,"Indiana State"
"28","NCAA, West - Second Round","2011","3","18",85,81,4,"Texas",13,"Oakland"
"29","NCAA, West - Second Round","2011","3","18",75,77,12,"Memphis",5,"Arizona"
"30","NCAA, Southwest - Second Round","2011","3","18",74,56,11,"VCU",6,"Georgetown"
"31","NCAA, East - Second Round","2011","3","18",55,66,6,"Xavier",11,"Marquette"
"32","NCAA, Southwest - Second Round","2011","3","18",50,57,7,"Texas AM",10,"Florida State"
"33","NCAA, East - Second Round","2011","3","18",68,65,7,"Washington",10,"Georgia"
"34","NCAA, Southwest - Second Round","2011","3","18",62,73,8,"UNLV",9,"Illinois"
"35","NCAA, West - Second Round","2011","3","18",45,75,9,"Tennessee",8,"Michigan"
"36","NCAA, East - Second Round","2011","3","18",57,61,9,"Villanova",8,"George Mason"
"37","NCAA, Southeast - Third Round","2011","3","19",70,71,1,"Pitt",8,"Butler"
"38","NCAA, West - Third Round","2011","3","19",64,71,7,"Temple",2,"San Diego State"
"39","NCAA, Southeast - Third Round","2011","3","19",65,73,7,"UCLA",2,"Florida"
"40","NCAA, West - Third Round","2011","3","19",69,58,3,"UConn",6,"Cincinnati"
"41","NCAA, Southeast - Third Round","2011","3","19",67,89,11,"Gonzaga",3,"BYU"
"42","NCAA, East - Third Round","2011","3","19",63,71,5,"West Virginia",4,"Kentucky"
"43","NCAA, Southeast - Third Round","2011","3","19",70,65,4,"Wisconsin",5,"Kansas State"
"44","NCAA, Southwest - Third Round","2011","3","19",65,48,12,"Richmond",13,"Morehead State"
"45","NCAA, Southwest - Third Round","2011","3","20",73,59,1,"Kansas",9,"Illinois"
"46","NCAA, West - Third Round","2011","3","20",71,73,8,"Michigan",1,"Duke"
"47","NCAA, East - Third Round","2011","3","20",98,66,1,"Ohio State",8,"George Mason"
"48","NCAA, Southwest - Third Round","2011","3","20",57,71,2,"Notre Dame",10,"Florida State"
"49","NCAA, East - Third Round","2011","3","20",83,86,7,"Washington",2,"UNC"
"50","NCAA, East - Third Round","2011","3","20",62,66,3,"Syracuse",11,"Marquette"
"51","NCAA, Southwest - Third Round","2011","3","20",94,76,11,"VCU",3,"Purdue"
"52","NCAA, West - Third Round","2011","3","20",69,70,4,"Texas",5,"Arizona"
"53","NCAA, West - Regional Semifinal","2011","3","24",77,93,1,"Duke",5,"Arizona"
"54","NCAA, Southeast - Regional Semifinal","2011","3","24",83,74,2,"Florida",3,"BYU"
"55","NCAA, West - Regional Semifinal","2011","3","24",67,74,2,"San Diego State",3,"UConn"
"56","NCAA, Southeast - Regional Semifinal","2011","3","24",54,61,4,"Wisconsin",8,"Butler"
"57","NCAA, East - Regional Semifinal","2011","3","25",60,62,1,"Ohio State",4,"Kentucky"
"58","NCAA, Southwest - Regional Semifinal","2011","3","25",57,77,12,"Richmond",1,"Kansas"
"59","NCAA, East - Regional Semifinal","2011","3","25",81,63,2,"UNC",11,"Marquette"
"60","NCAA, Southwest - Regional Semifinal","2011","3","25",72,71,11,"VCU",10,"Florida State"
"61","NCAA, Southeast - Regional Final","2011","3","26",71,74,2,"Florida",8,"Butler"
"62","NCAA, West - Regional Final","2011","3","26",65,63,3,"UConn",5,"Arizona"
"63","NCAA, Southwest - Regional Final","2011","3","27",71,61,11,"VCU",1,"Kansas"
"64","NCAA, East - Regional Final","2011","3","27",69,76,2,"UNC",4,"Kentucky"
"65","NCAA, National - National Semifinal","2011","4","2",55,56,4,"Kentucky",3,"UConn"
"66","NCAA, National - National Semifinal","2011","4","2",62,70,11,"VCU",8,"Butler"
"67","NCAA, National - National Final","2011","4","4",53,41,3,"UConn",8,"Butler"
"68","NCAA, West - First Round","2012","3","13",72,78,14,"Iona",14,"BYU"
"69","NCAA, South - First Round","2012","3","13",59,58,16,"Western Kentucky",16,"Mississippi Valley State"
"70","NCAA, Midwest - First Round","2012","3","14",65,54,12,"South Florida",12,"California"
"71","NCAA, Midwest - First Round","2012","3","14",71,59,16,"Vermont",16,"Lamar"
"72","NCAA, East - Second Round","2012","3","15",72,65,1,"Syracuse",16,"UNC Asheville"
"73","NCAA, South - Second Round","2012","3","15",66,81,16,"Western Kentucky",1,"Kentucky"
"74","NCAA, East - Second Round","2012","3","15",78,59,2,"Ohio State",15,"Loyola MD"
"75","NCAA, West - Second Round","2012","3","15",88,68,3,"Marquette",14,"BYU"
"76","NCAA, South - Second Round","2012","3","15",60,68,14,"South Dakota State",3,"Baylor"
"77","NCAA, West - Second Round","2012","3","15",69,62,4,"Louisville",13,"Davidson"
"78","NCAA, South - Second Round","2012","3","15",66,79,13,"New Mexico State",4,"Indiana"
"79","NCAA, East - Second Round","2012","3","15",73,49,4,"Wisconsin",13,"Montana"
"80","NCAA, West - Second Round","2012","3","15",75,68,5,"New Mexico",12,"Long Beach State"
"81","NCAA, East - Second Round","2012","3","15",79,70,5,"Vanderbilt",12,"Harvard"
"82","NCAA, South - Second Round","2012","3","15",59,62,5,"Wichita State",12,"VCU"
"83","NCAA, West - Second Round","2012","3","15",58,41,6,"Murray State",11,"Colorado State"
"84","NCAA, South - Second Round","2012","3","15",64,68,6,"UNLV",11,"Colorado"
"85","NCAA, East - Second Round","2012","3","15",54,77,10,"West Virginia",7,"Gonzaga"
"86","NCAA, South - Second Round","2012","3","15",77,64,8,"Iowa State",9,"UConn"
"87","NCAA, East - Second Round","2012","3","15",64,70,9,"Southern Miss",8,"Kansas State"
"88","NCAA, West - Second Round","2012","3","16",89,67,1,"Michigan State",16,"LIU"
"89","NCAA, Midwest - Second Round","2012","3","16",58,77,16,"Vermont",1,"UNC"
"90","NCAA, Midwest - Second Round","2012","3","16",65,50,2,"Kansas",15,"Detroit"
"91","NCAA, South - Second Round","2012","3","16",75,70,15,"Lehigh",2,"Duke"
"92","NCAA, West - Second Round","2012","3","16",86,84,15,"Norfolk State",2,"Missouri"
"93","NCAA, Midwest - Second Round","2012","3","16",74,59,3,"Georgetown",14,"Belmont"
"94","NCAA, East - Second Round","2012","3","16",63,66,14,"St Bonaventure",3,"Florida State"
"95","NCAA, Midwest - Second Round","2012","3","16",65,60,13,"Ohio",4,"Michigan"
"96","NCAA, Midwest - Second Round","2012","3","16",44,58,5,"Temple",12,"South Florida"
"97","NCAA, Midwest - Second Round","2012","3","16",65,79,6,"San Diego State",11,"NC State"
"98","NCAA, East - Second Round","2012","3","16",59,65,11,"Texas",6,"Cincinnati"
"99","NCAA, Midwest - Second Round","2012","3","16",69,72,7,"Saint Marys",10,"Purdue"
"100","NCAA, West - Second Round","2012","3","16",45,71,10,"Virginia",7,"Florida"
"101","NCAA, South - Second Round","2012","3","16",67,63,10,"Xavier",7,"Notre Dame"
"102","NCAA, Midwest - Second Round","2012","3","16",58,57,8,"Creighton",9,"Alabama"
"103","NCAA, West - Second Round","2012","3","16",61,54,9,"Saint Louis",8,"Memphis"
"104","NCAA, South - Third Round","2012","3","17",87,71,1,"Kentucky",8,"Iowa State"
"105","NCAA, East - Third Round","2012","3","17",75,59,1,"Syracuse",8,"Kansas State"
"106","NCAA, East - Third Round","2012","3","17",73,66,2,"Ohio State",7,"Gonzaga"
"107","NCAA, South - Third Round","2012","3","17",63,80,11,"Colorado",3,"Baylor"
"108","NCAA, West - Third Round","2012","3","17",53,62,6,"Murray State",3,"Marquette"
"109","NCAA, West - Third Round","2012","3","17",56,59,5,"New Mexico",4,"Louisville"
"110","NCAA, South - Third Round","2012","3","17",61,63,12,"VCU",4,"Indiana"
"111","NCAA, East - Third Round","2012","3","17",60,57,4,"Wisconsin",5,"Vanderbilt"
"112","NCAA, Midwest - Third Round","2012","3","18",87,73,1,"UNC",8,"Creighton"
"113","NCAA, West - Third Round","2012","3","18",61,65,9,"Saint Louis",1,"Michigan State"
"114","NCAA, Midwest - Third Round","2012","3","18",60,63,10,"Purdue",2,"Kansas"
"115","NCAA, East - Third Round","2012","3","18",56,62,3,"Florida State",6,"Cincinnati"
"116","NCAA, Midwest - Third Round","2012","3","18",66,63,11,"NC State",3,"Georgetown"
"117","NCAA, West - Third Round","2012","3","18",50,84,15,"Norfolk State",7,"Florida"
"118","NCAA, South - Third Round","2012","3","18",70,58,10,"Xavier",15,"Lehigh"
"119","NCAA, Midwest - Third Round","2012","3","18",56,62,12,"South Florida",13,"Ohio"
"120","NCAA, West - Regional Semifinal","2012","3","22",44,57,1,"Michigan State",4,"Louisville"
"121","NCAA, East - Regional Semifinal","2012","3","22",63,64,4,"Wisconsin",1,"Syracuse"
"122","NCAA, East - Regional Semifinal","2012","3","22",81,66,2,"Ohio State",6,"Cincinnati"
"123","NCAA, West - Regional Semifinal","2012","3","22",58,68,3,"Marquette",7,"Florida"
"124","NCAA, South - Regional Semifinal","2012","3","23",102,90,1,"Kentucky",4,"Indiana"
"125","NCAA, Midwest - Regional Semifinal","2012","3","23",65,73,13,"Ohio",1,"UNC"
"126","NCAA, Midwest - Regional Semifinal","2012","3","23",57,60,11,"NC State",2,"Kansas"
"127","NCAA, South - Regional Semifinal","2012","3","23",70,75,10,"Xavier",3,"Baylor"
"128","NCAA, East - Regional Final","2012","3","24",70,77,1,"Syracuse",2,"Ohio State"
"129","NCAA, West - Regional Final","2012","3","24",72,68,4,"Louisville",7,"Florida"
"130","NCAA, South - Regional Final","2012","3","25",82,70,1,"Kentucky",3,"Baylor"
"131","NCAA, Midwest - Regional Final","2012","3","25",67,80,1,"UNC",2,"Kansas"
"132","NCAA, National - National Semifinal","2012","3","31",61,69,4,"Louisville",1,"Kentucky"
"133","NCAA, National - National Semifinal","2012","3","31",62,64,2,"Ohio State",2,"Kansas"
"134","NCAA, National - National Final","2012","4","2",67,59,1,"Kentucky",2,"Kansas"
"135","NCAA, Midwest - First Round","2013","3","19",67,54,11,"Saint Marys",11,"Middle Tennessee"
"136","NCAA, Midwest - First Round","2013","3","19",73,72,16,"North Carolina AT",16,"Liberty"
"137","NCAA, West - First Round","2013","3","20",80,71,13,"La Salle",13,"Boise State"
"138","NCAA, East - First Round","2013","3","20",55,68,16,"LIU",16,"James Madison"
"139","NCAA, Midwest - Second Round","2013","3","21",48,79,16,"North Carolina AT",1,"Louisville"
"140","NCAA, West - Second Round","2013","3","21",58,64,16,"Southern",1,"Gonzaga"
